,age,kccq_summ_bl,height,weight,haemoglobin,platelet_count,albumin,creatinine,inr,egfr_pre,fev1,rv_systolic,lvef_value,lv_internal_sys_dim_value,lv_internal_dia_dim_value,septal_wall,posterior_wall,av_peak_vel,av_mean_grad_tte,av_area_tte,dp_index_tte_pre,annulus_max_dim,annulus_min_dim,perimeter,annulus_area_ctaort,st_junc_diam,aortic_sinus_dim_left,aortic_sinus_dim_right,aortic_sinus_dim_non_coron,ascending_ao,lmca_height,rca_height,iliac_mld_left,iliac_mld_right,femoral_mld_left,femoral_mld_right,discharge_status_new,fup_status_30d_new,fup_status_12mth_new,days_death,LOS,days_30d_fup,days_12mth_fup
count,16099.0,14486.0,16059.0,16073.0,15968.0,15938.0,14996.0,15973.0,11925.0,14985.0,5551.0,8412.0,14505.0,10531.0,13998.0,14248.0,14087.0,14523.0,14853.0,13918.0,11926.0,15227.0,15145.0,15013.0,14333.0,13151.0,12668.0,12658.0,12576.0,14360.0,15269.0,15257.0,14038.0,14052.0,14880.0,14871.0,16123.0,15066.0,8993.0,738.0,16072.0,14935.0,9039.0
mean,81.5890427976893,52.73885130470799,166.58135624883244,78.86100914577241,126.25112725450902,214302.66652026604,37.977527340624164,106.23427033118388,1.113156394129979,56.477784451117785,78.39150063051703,38.4831193533048,57.68466046190969,3.1689520463393785,4.633127875410773,1.2483645423919147,1.1490983601902462,4.090805666873235,42.773513768262305,0.836111653973272,0.2749205349656213,27.371182767452552,21.90960713106636,78.97118115633117,465.787131165841,28.824918257166754,32.36011446163562,31.158386790962236,32.36752703562341,33.7547360724234,14.574357194315278,16.710242511634004,8.65670964524861,8.744600056931397,7.585090053763441,7.60761549324188,1.0093034795013336,1.0171910261515997,1.0938507728233071,175.85230352303523,50.98332503733201,44.19450954134583,385.52240292067705
std,7.130856775098531,22.882363503555595,10.227997622365564,18.149991557328466,17.213142916912748,75304.69099405187,4.605196093320982,69.1909460283481,0.2546293939356496,22.79049556496923,24.65338858349096,13.350984742611326,11.72533273769946,1.241552842400711,0.949693135411134,0.35340296065287574,0.2853767842319445,0.8341124657231117,13.991566898358405,0.3429129589870304,2.054942643573163,3.1781682845584083,2.608846192790115,15.506342698937617,119.60394948968207,4.075570960370246,4.926156795433223,4.6574333638068195,4.894130144980704,6.531965078232712,3.4360560802967184,3.816625064294923,2.308737323446525,2.312792434039872,1.7845034988393609,1.7709916303493516,0.09600779379352256,0.12998698503278183,0.29163721105357093,169.97935424590904,1137.4663957024216,76.8394524732814,90.67476222328736
min,24.0,0.0,100.0,25.0,67.0,25.0,14.0,27.0,0.0,0.2,0.52,0.0,5.0,0.29,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,19.3,0.77,2.0,1.8,0.1,0.7,4.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-7218.0,-2892.0
25%,77.0,36.0,160.0,67.0,115.0,168000.0,35.0,75.0,1.0,42.0,64.0,29.0,54.0,2.6,4.1,1.1,1.0,3.78,34.0,0.68,0.19,25.0,20.0,73.0,402.0,26.3,30.0,28.7,29.8,31.0,12.4,14.1,7.1,7.2,6.4,6.4,1.0,1.0,1.0,29.0,3.0,31.0,363.0
50%,82.0,52.0,167.0,77.0,127.0,207000.0,38.0,91.0,1.1,59.0,79.0,36.0,60.0,3.0,4.6,1.2,1.1,4.1,42.0,0.8,0.22,27.0,22.0,79.0,468.0,28.7,32.9,31.3,32.7,33.4,14.4,16.7,8.6,8.8,7.5,7.55,1.0,1.0,1.0,137.0,4.0,37.0,378.0
75%,87.0,70.0,175.0,89.0,138.0,252000.0,41.0,116.0,1.1,75.0,95.0,45.0,65.0,3.6,5.1,1.4,1.3,4.5,50.0,0.93,0.26,29.0,24.0,84.1,538.3,31.1,35.5,34.0,35.4,36.0,16.6,19.0,10.0,10.0,8.8,8.8,1.0,1.0,1.0,283.0,7.0,50.0,410.0
max,105.0,100.0,258.0,194.0,274.0,980000.0,93.0,1061.0,6.8,104.0,247.0,139.0,95.0,63.0,49.0,15.0,13.0,46.0,132.0,6.84,191.0,93.0,50.0,821.0,1025.0,76.8,63.4,96.1,100.0,625.0,90.0,60.0,37.0,28.0,19.0,19.3,2.0,2.0,2.0,1171.0,32516.0,1374.0,1519.0
NA,24.0,1637.0,64.0,50.0,155.0,185.0,1127.0,150.0,4198.0,1138.0,10572.0,7711.0,1618.0,5592.0,2125.0,1875.0,2036.0,1600.0,1270.0,2205.0,4197.0,896.0,978.0,1110.0,1790.0,2972.0,3455.0,3465.0,3547.0,1763.0,854.0,866.0,2085.0,2071.0,1243.0,1252.0,0.0,1057.0,7130.0,15385.0,51.0,1188.0,7084.0
NA_perc,0.14885567202133598,10.153197295788626,0.3969484587235626,0.3101159833777833,0.9613595484711283,1.1474291384977982,6.990014265335236,0.9303479501333499,26.03733796439868,7.058239781678348,65.5709235253985,47.82608695652174,10.035353222105067,34.68337158097128,13.179929293555789,11.629349376666873,12.627922843143335,9.923711468089065,7.876945977795696,13.676114866960242,26.03113564473113,5.557278422129876,6.065868634869441,6.884574830986789,11.102152204924643,18.433294051975437,21.429014451404825,21.491037648080383,21.99962786081995,10.934689573900638,5.296780996092538,5.371208832103207,12.931836506853564,12.845004031507784,7.709483346771692,7.765304223779694,0.0,6.555851888606338,44.222539229671895,95.42268808534392,0.316318303045339,7.368355765056131,43.93723252496434
