,nodes,learning_rate,dropout,l2_reg,ipcw_mean,ipcw_std,ci_mean,ci_std,n_nodes
0,,0.001,0.1,0.1,0.35239185011085716,0.008294354121195977,0.36723489344949256,0.008931458141736735,24.0
1,,0.001,0.1,1.0,0.34300127887575027,0.01891151041771341,0.35590853316645027,0.016570381852560396,24.0
2,,0.001,0.1,10.0,0.3686592606496247,0.02316024132764696,0.3839873178744512,0.025864475117090464,24.0
3,,0.001,0.1,100.0,0.3742700690013012,0.0257797363266905,0.3886398389879017,0.025123294370615272,24.0
4,,0.001,0.2,0.1,0.360276031837588,0.015790673295532656,0.36671516504205626,0.008601606845669902,24.0
5,,0.001,0.2,1.0,0.3653447323252255,0.03241651932285795,0.3632621371506262,0.022806850136365436,24.0
6,,0.001,0.2,10.0,0.338637876032558,0.02661342122833452,0.35116805343746155,0.029886243769547443,24.0
7,,0.001,0.2,100.0,0.3667452305078741,0.03373619557277589,0.3635401041948997,0.03353079889347673,24.0
8,,0.001,0.3,0.1,0.3857781931090754,0.0423419634147826,0.39557816838134713,0.04422882683398871,24.0
9,,0.001,0.3,1.0,0.38459550177389623,0.039366138783127634,0.38672887988997934,0.04261656922755455,24.0
10,,0.001,0.3,10.0,0.4062542589926893,0.05257492690138669,0.4078337852836052,0.05470134058126725,24.0
11,,0.001,0.3,100.0,0.4012526596563542,0.044544265994585185,0.40953597404972986,0.04944456471431536,24.0
12,,0.01,0.1,0.1,0.36068099495233613,0.03181599816312686,0.3713598387821987,0.02510197038938935,24.0
13,,0.01,0.1,1.0,0.3628690629070981,0.022417240314272228,0.3835719422609573,0.02819614323984745,24.0
14,,0.01,0.1,10.0,0.37120475592037366,0.03921313823651233,0.38159078562782467,0.020130038505804755,24.0
15,,0.01,0.1,100.0,0.37991989200880677,0.011990767816279519,0.3923202225553456,0.012037679868784266,24.0
16,,0.01,0.2,0.1,0.35534979620869744,0.03423558097299455,0.3683282742134793,0.04144154697213158,24.0
